"","name","value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios"
"1",1,"Periódico El Tiempo  @ElTiempoGve 33m 33 minutes ago More «Me resultó inaceptable la imposición de funcionarios que no tienen conocimiento», ola de reacciones a renuncia de Urzúa Información General  Reply Retweet Like","Periódico El Tiempo  ","@ElTiempoGve ","2019-07-09",NA,NA,NA,"«Me resultó inaceptable la imposición de funcionarios que no tienen conocimiento», ola de reacciones a renuncia de Urzúa Información General","","","Me, Urzúa, Información, General"
"2",2,"Laleven  @LaloSinTuiter 33m 33 minutes ago More Con la renuncia de Carlos Urzúa les tengo una propuesta inmejorable para el puesto @hacienda_mx Reply Retweet Like","Laleven  ","@LaloSinTuiter ","2019-07-09",NA,NA,NA,"Con la renuncia de Carlos Urzúa les tengo una propuesta inmejorable para el puesto @hacienda_mx","","@hacienda_mx","Con, Carlos, Urzúa"
"3",3,"El Sol de Cuernavaca  @SolDeCuernavaca 33m 33 minutes ago More #Ahora || El presidente del @CCE_MORELOS, Ángel Adame, aplaudió la renuncia de Carlos Urzúa a la Secretaría de Hacienda y Crédito Público Información: Antonela Ladino Imagen: Froylán Trujillo http://bit.ly/2YKsKQv  Reply Retweet Like","El Sol de Cuernavaca  ","@SolDeCuernavaca ","2019-07-09",NA,NA,NA,"#Ahora || El presidente del @CCE_MORELOS, Ángel Adame, aplaudió la renuncia de Carlos Urzúa a la Secretaría de Hacienda y Crédito Público Información: Antonela Ladino Imagen: Froylán Trujillo http://bit.ly/2YKsKQv","#Ahora","@CCE_MORELOS","Ahora, El, Adame, Carlos, Urzúa, Secretaría, Hacienda, Crédito, Público, Información, Antonela, Ladino, Imagen, Froylán, Trujillo, YKsKQv"
"4",4,"Manuel Ibarra  @Manuel_Ibarra 33m 33 minutes ago More Los fachos: ""Todo el gabinete de y @lopezobrador_ no saben lo que están haciendo"" en el país.  Also, los fachos: ""Se va Carlos Urzúa de Hacienda, no puede ser, era el único que sabía, pobre SHCP, estoy llorando, me dueles México"".  El caso es sabotear. Reply Retweet Like 1","Manuel Ibarra  ","@Manuel_Ibarra ","2019-07-09",NA,1,NA,"Los fachos: ""Todo el gabinete de y @lopezobrador_ no saben lo que están haciendo"" en el país.  Also, los fachos: ""Se va Carlos Urzúa de Hacienda, no puede ser, era el único que sabía, pobre SHCP, estoy llorando, me dueles México"".  El caso es sabotear.","","@lopezobrador_","Los, Todo, Also, Se, Carlos, Urzúa, Hacienda, SHCP, México, El"
"5",5,"Jorge Medina  @JorgeMedina1974 33m 33 minutes ago More Este país se dirige al despeñadero  El autoritarismo por encima del Estado de Derecho  Renuncia Carlos Urzúa a la Secretaría de Hacienda  Reply Retweet Like","Jorge Medina  ","@JorgeMedina1974 ","2019-07-09",NA,NA,NA,"Este país se dirige al despeñadero  El autoritarismo por encima del Estado de Derecho  Renuncia Carlos Urzúa a la Secretaría de Hacienda","","","Este, El, Estado, Derecho, Renuncia, Carlos, Urzúa, Secretaría, Hacienda"
"6",6,"Comisión Mexicana de Derechos Humanos  @Comexdh 33m 33 minutes ago More Carlos Urzúa (@CarlosUrzuaSHCP) ha renunciado a su cargo de la Secretaría de Hacienda y Crédito Público (@hacienda_mx): ""Toda política económica debe realizarse con base a la evidencia"" Anunciamos conforme al Derecho Humano a la Información, #InfórmateDDHH Reply Retweet Like","Comisión Mexicana de Derechos Humanos  ","@Comexdh ","2019-07-09",NA,NA,NA,"Carlos Urzúa (@CarlosUrzuaSHCP) ha renunciado a su cargo de la Secretaría de Hacienda y Crédito Público (@hacienda_mx): ""Toda política económica debe realizarse con base a la evidencia"" Anunciamos conforme al Derecho Humano a la Información, #InfórmateDDHH","#InfórmateDDHH","@CarlosUrzuaSHCP, @hacienda_mx","Carlos, Urzúa, Secretaría, Hacienda, Crédito, Público, Toda, Anunciamos, Derecho, Humano, Información, InfórmateDDHH"
"7",7,"Nasdaq  @nasdaqcontinuos 33m 33 minutes ago More Con ustedes Arturo Herrera y su cara de.... confianza? #FelizMartes #AmloElFracasoPresidencial #MorenaDestruyeMexico #urzua #carlosurzua Reply Retweet Like","Nasdaq  ","@nasdaqcontinuos ","2019-07-09",NA,NA,NA,"Con ustedes Arturo Herrera y su cara de.... confianza? #FelizMartes #AmloElFracasoPresidencial #MorenaDestruyeMexico #urzua #carlosurzua","#FelizMartes, #AmloElFracasoPresidencial, #MorenaDestruyeMexico, #urzua, #carlosurzua","","Con, Arturo, Herrera, FelizMartes, AmloElFracasoPresidencial, MorenaDestruyeMexico"
"8",8,"jesusbalmaceda  @jesusbalmaceda 34m 34 minutes ago More #NoticiaDeUltimoMomento El presidente  @lopezobrador_ nombró a Arturo Herrera  Gutiérrez como titular de la Secretaría de Hacienda y Crédito Público (SHCP). Este nombramiento tiene lugar tras la renuncia del secretario de  Hacienda, Carlos Urzúa.  Reply Retweet Like","jesusbalmaceda  ","@jesusbalmaceda ","2019-07-09",NA,NA,NA,"#NoticiaDeUltimoMomento El presidente  @lopezobrador_ nombró a Arturo Herrera  Gutiérrez como titular de la Secretaría de Hacienda y Crédito Público (SHCP). Este nombramiento tiene lugar tras la renuncia del secretario de  Hacienda, Carlos Urzúa.","#NoticiaDeUltimoMomento","@lopezobrador_","NoticiaDeUltimoMomento, El, Arturo, Herrera, Gutiérrez, Secretaría, Hacienda, Crédito, Público, SHCP, Este, Hacienda, Carlos, Urzúa"
"9",9,"Sylvia   🇲🇽  @aivlisca 34m 34 minutes ago More https://diario.mx/juarez/preven-entrega-de-creditos-de-infonavit-a-indocumentados-20190703-1535329.html … ""Discrepancias en materia económica hubo muchas. Algunas de ellas porque en esta administración se han tomado decisiones de política pública sin el suficiente sustento”, argumentó Carlos Urzúa en su renuncia. Reply Retweet Like","Sylvia   ","@aivlisca ","2019-07-09",NA,NA,NA,"🇲🇽https://diario.mx/juarez/preven-entrega-de-creditos-de-infonavit-a-indocumentados-20190703-1535329.html … ""Discrepancias en materia económica hubo muchas. Algunas de ellas porque en esta administración se han tomado decisiones de política pública sin el suficiente sustento”, argumentó Carlos Urzúa en su renuncia.","","","Discrepancias, Algunas, Carlos, Urzúa"
"10",10,"Oscar González  @Oscar_gora 34m 34 minutes ago More Oscar González Retweeted Carlos Urzúa Hace 14 días el presidente de México aseguró: ""No crean que tiene mucha ciencia el gobernar"". Hoy Urzúa es claro: ""...en esta administración se han tomado decisiones de política pública sin el suficiente sustento"". #ElArtedeGobernar Oscar González added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.  Reply Retweet Like","Oscar González  ","@Oscar_gora ","2019-07-09",NA,NA,NA,"Oscar González Retweeted Carlos Urzúa Hace 14 días el presidente de México aseguró: ""No crean que tiene mucha ciencia el gobernar"". Hoy Urzúa es claro: ""...en esta administración se han tomado decisiones de política pública sin el suficiente sustento"". #ElArtedeGobernar Oscar González added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.","#ElArtedeGobernar","@CarlosUrzuaSHCP","Oscar, González, Retweeted, Carlos, Urzúa, Hace, México, No, Hoy, Urzúa, ElArtedeGobernar, Oscar, González, Carlos, Urzúa, Verified, Agradezco, México"
