"value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios","fecha2"
"The Trend  @thetrend___ 19m 19 minutes ago More ""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie   Reply Retweet 3 Like 6","The Trend  ","@thetrend___ ","2019-10-05",3,6,NA,"""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie","#Joker, #Guasón, #JokerMovie","","Solía, Joaquin, Phoenix, Joker, Guasón, JokerMovie","2019-10-05"
"Amir Alonso Pinardel  @amiralonsopinar 2h 2 hours ago More Acabo de ver @jokermovie y debo decir que es una verdadera obra cinematográfica. Sin duda este Guason moviliza y nos pasea por diferentes estados. Un #Joker psicodélico y símbolo de un sistema injusto, corrompido. Un auténtico agente del caos!!! @comicsarg Reply 1 Retweet Like 1","Amir Alonso Pinardel  ","@amiralonsopinar ","2019-10-05",NA,1,1,"Acabo de ver @jokermovie y debo decir que es una verdadera obra cinematográfica. Sin duda este Guason moviliza y nos pasea por diferentes estados. Un #Joker psicodélico y símbolo de un sistema injusto, corrompido. Un auténtico agente del caos!!! @comicsarg","#Joker","@jokermovie, @comicsarg","Acabo, Sin, Guason, Un, Joker, Un","2019-10-05"
"Jaime  @blackjim7 16m 16 minutes ago More Estoy sin palabras! Joaquin MAESTRO!  #JokerMovie #Joker #Guason #elbromas   11/10 Reply Retweet Like 2","Jaime  ","@blackjim7 ","2019-10-05",NA,2,NA,"Estoy sin palabras! Joaquin MAESTRO!  #JokerMovie #Joker #Guason #elbromas   11/10","#JokerMovie, #Joker, #Guason, #elbromas","","Estoy, Joaquin, MAESTRO, JokerMovie, Joker, Guason","2019-10-05"
"American Horror Story Manía  @AHS_Mania 1h 1 hour ago More La magistral Frances Conroy participa en la película del icónico personaje de DC comics Joker (Guasón) interpretando a la mamá del protagonista Penny Fleck.  No se pierdan su excelente participación a la que nos tiene acostumbrados   #AHS @AHSFX @jokermovie  Reply Retweet 1 Like","American Horror Story Manía  ","@AHS_Mania ","2019-10-05",1,NA,NA,"La magistral Frances Conroy participa en la película del icónico personaje de DC comics Joker (Guasón) interpretando a la mamá del protagonista Penny Fleck.  No se pierdan su excelente participación a la que nos tiene acostumbrados   #AHS @AHSFX @jokermovie","#AHS","@AHSFX, @jokermovie","La, Frances, Conroy, DC, Joker, Guasón, Penny, Fleck, No, AHS","2019-10-05"
"CarlosJulioPerezG  @carlosjulio75 32m 32 minutes ago More “The worst part of having a mental illness is people expect you to behave as if you don't.” Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras"" Guasón (2019)  Reply Retweet Like","CarlosJulioPerezG  ","@carlosjulio75 ","2019-10-05",NA,NA,NA,"“The worst part of having a mental illness is people expect you to behave as if you don't.” Joker (2019)  #JokerMovie   ""La peor parte de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras"" Guasón (2019)","#JokerMovie","","The, Joker, JokerMovie, La, Guasón","2019-10-05"
"RedLan Comics  @RedLanComics 10m 10 minutes ago More #Joker bate records en su primer día de proyecciones  #JokerMovie #JokerFilm #Guason https://redlan.com.ar/index.php/2019/10/05/joker-bate-records-en-su-primer-dia-de-proyecciones/ … Reply Retweet Like 1","RedLan Comics  ","@RedLanComics ","2019-10-05",NA,1,NA,"#Joker bate records en su primer día de proyecciones  #JokerMovie #JokerFilm #Guason https://redlan.com.ar/index.php/2019/10/05/joker-bate-records-en-su-primer-dia-de-proyecciones/ …","#Joker, #JokerMovie, #JokerFilm, #Guason","","Joker, JokerMovie, JokerFilm, Guason","2019-10-05"
"Viðarr Odinson   @VitharOdinson 24m 24 minutes ago More Viðarr Odinson  Retweeted etcétera Le dejo mi opinión sobre #Joker alias #Guasón, para que evalúen si deben ir a ver #JokerMovie. El texto no tiene #spoilers, pero sí retrata la panorámica de la cinta. El único adelanto que les doy es que es excelente: Todd Phillips es el Alan Moore del cine. Viðarr Odinson  added, etcétera Verified account  @revistaetcetera ""La cinta expone la ceguera general frente a las enfermedades mentales y la existencia de una cultura del bullying que algunos torpemente insisten en disculpar o en subestimar su gravedad"", por @VitharOdinson #JokerMovie http://bit.ly/35asduG  Reply 1 Retweet 1 Like 1","Viðarr Odinson ","@VitharOdinson ","2019-10-05",1,1,1,"Viðarr Odinson  Retweeted etcétera Le dejo mi opinión sobre #Joker alias #Guasón, para que evalúen si deben ir a ver #JokerMovie. El texto no tiene #spoilers, pero sí retrata la panorámica de la cinta. El único adelanto que les doy es que es excelente: Todd Phillips es el Alan Moore del cine. Viðarr Odinson  added, etcétera Verified account  @revistaetcetera ""La cinta expone la ceguera general frente a las enfermedades mentales y la existencia de una cultura del bullying que algunos torpemente insisten en disculpar o en subestimar su gravedad"", por @VitharOdinson #JokerMovie http://bit.ly/35asduG","#Joker, #Guasón, #JokerMovie, #spoilers, #JokerMovie","@revistaetcetera, @VitharOdinson","Viðarr, Odinson, Retweeted, Le, Joker, Guasón, JokerMovie, El, El, Todd, Phillips, Alan, Moore, Viðarr, Odinson, Verified, La, JokerMovie","2019-10-05"
"Madrigal  @madrigol10 36m 36 minutes ago More Replying to @OSWALDORIOSM @jokermovie Domingo de Guasón Reply Retweet Like","Madrigal  ","@madrigol10 ","2019-10-05",NA,NA,NA,"REPLYING TO @OSWALDORIOSM @jokermovie Domingo de Guasón","","@OSWALDORIOSM, @jokermovie","Domingo, Guasón","2019-10-05"
"Los mexicanos dicen  @mexicanosdicen 42m 42 minutes ago More Cuando te enteras que El Guasón y El Joker son lo mismo. En serio que a muchos nos ha pasado.  #ElBromas #Joker #JokerMovie #TheJoker #FelizSabado Reply 1 Retweet Like 1","Los mexicanos dicen  ","@mexicanosdicen ","2019-10-05",NA,1,1,"Cuando te enteras que El Guasón y El Joker son lo mismo. En serio que a muchos nos ha pasado.  #ElBromas #Joker #JokerMovie #TheJoker #FelizSabado","#ElBromas, #Joker, #JokerMovie, #TheJoker, #FelizSabado","","Cuando, El, Guasón, El, Joker, En, ElBromas, Joker, JokerMovie, TheJoker, FelizSabado","2019-10-05"
"Marco Antonio  @Acapulco1605 49m 49 minutes ago More Replying to @warkentin @jokermovie Será la edad u otra cosa, pero la neta no m gusto nada; no encontré nada interesante; m pareció muy descafeinada, sin chiste; nunca entendí finalmente si alucinaba Guasón o eran reales algunas escenas Reply 1 Retweet Like","Marco Antonio  ","@Acapulco1605 ","2019-10-05",NA,NA,NA,"REPLYING TO @warkentin @jokermovie Será la edad u otra cosa, pero la neta no m gusto nada; no encontré nada interesante; m pareció muy descafeinada, sin chiste; nunca entendí finalmente si alucinaba Guasón o eran reales algunas escenas","","@warkentin, @jokermovie","Será, Guasón","2019-10-05"
